date,pv
2019-03-29,100000.0
2019-04-01,100000.0
2019-04-02,100000.0
2019-04-03,100000.0
2019-04-04,100000.0
2019-04-05,100000.0
2019-04-08,100000.0
2019-04-09,99752.48
2019-04-10,99638.24
2019-04-11,99562.08
2019-04-12,99333.6
2019-04-15,99699.42
2019-04-16,99252.62
2019-04-17,98428.9
2019-04-18,99315.46
2019-04-22,99304.05
2019-04-23,98646.47
2019-04-24,98900.03
2019-04-25,99580.75
2019-04-26,102009.23
2019-04-29,101846.81
2019-04-30,103538.09
2019-05-01,103630.83
2019-05-02,103378.48
2019-05-03,102930.46
2019-05-06,104169.95
2019-05-07,104925.44
2019-05-08,105575.21
2019-05-09,106051.98
2019-05-10,106193.77
2019-05-13,104185.83
2019-05-14,105275.53
2019-05-15,106380.68
2019-05-16,106413.95
2019-05-17,104900.52
2019-05-20,103471.51
2019-05-21,104512.46
2019-05-22,104991.4
2019-05-23,104610.75
2019-05-24,103983.22
2019-05-28,102419.19
2019-05-29,102565.55
2019-05-30,103189.95
2019-05-31,102230.17
2019-06-03,102238.78
2019-06-04,104965.88
2019-06-05,104999.13
2019-06-06,105647.68
2019-06-07,106238.28
2019-06-10,106984.23
2019-06-11,107563.97
2019-06-12,107238.29
2019-06-13,107440.24
2019-06-14,107338.04
2019-06-17,107343.98
2019-06-18,108095.32
2019-06-19,107922.34
2019-06-20,108312.38
2019-06-21,108435.57
2019-06-24,108156.47
2019-06-25,106999.63
2019-06-26,107203.14
2019-06-27,107231.8
2019-06-28,106823.6
2019-07-01,106115.36
2019-07-02,106146.84
2019-07-03,105671.15
2019-07-05,105829.06
2019-07-08,105950.62
2019-07-09,106020.19
2019-07-10,105466.11
2019-07-11,104836.33
2019-07-12,103365.0
2019-07-15,103210.01
2019-07-16,103864.87
2019-07-17,103398.36
2019-07-18,103063.71
2019-07-19,101839.13
2019-07-22,100411.8
2019-07-23,100415.13
2019-07-24,101294.69
2019-07-25,102079.57
2019-07-26,102927.97
2019-07-29,102467.54
2019-07-30,102520.63
2019-07-31,102510.75
2019-08-01,103565.96
2019-08-02,104576.47
2019-08-05,103285.31
2019-08-06,104273.68
2019-08-07,103607.2
2019-08-08,105923.25
2019-08-09,105539.56
2019-08-12,103704.15
2019-08-13,104763.43
2019-08-14,101757.62
2019-08-15,100108.34
2019-08-16,101238.18
2019-08-19,102182.07
2019-08-20,102168.07
2019-08-21,102359.21
2019-08-22,102789.66
2019-08-23,101768.61
2019-08-26,102170.31
2019-08-27,102080.86
2019-08-28,102209.37
2019-08-29,102239.44
2019-08-30,102522.81
2019-09-03,102706.72
2019-09-04,102510.04
2019-09-05,101514.2
2019-09-06,101607.02
2019-09-09,100956.96
2019-09-10,100897.51
2019-09-11,99509.65
2019-09-12,99743.32
2019-09-13,99855.17
2019-09-16,100333.65
2019-09-17,100133.35
2019-09-18,99985.96
2019-09-19,100718.77
2019-09-20,101968.11
2019-09-23,101183.08
2019-09-24,102119.41
2019-09-25,100800.06
2019-09-26,101219.61
2019-09-27,103943.41
2019-09-30,103914.41
2019-10-01,104577.19
2019-10-02,105234.02
2019-10-03,105140.55
2019-10-04,104676.55
2019-10-07,104767.26
2019-10-08,105258.8
2019-10-09,105068.19
2019-10-10,104649.05
2019-10-11,104332.95
2019-10-14,104454.59
2019-10-15,103852.6
2019-10-16,103937.17
2019-10-17,103844.84
2019-10-18,105307.63
2019-10-21,104435.61
2019-10-22,103765.24
2019-10-23,103540.93
2019-10-24,103988.27
2019-10-25,102150.13
2019-10-28,101869.21
2019-10-29,101949.64
2019-10-30,102109.11
2019-10-31,102218.25
2019-11-01,101920.3
2019-11-04,101403.66
2019-11-05,101320.15
2019-11-06,101914.64
2019-11-07,100477.19
2019-11-08,98728.33
2019-11-11,100108.28
2019-11-12,100737.98
2019-11-13,101720.22
2019-11-14,101652.67
2019-11-15,100988.78
2019-11-18,101288.64
2019-11-19,101558.41
2019-11-20,102106.35
2019-11-21,101793.44
