date,pv
2019-03-29,100000.0
2019-04-01,100000.0
2019-04-02,100000.0
2019-04-03,100000.0
2019-04-04,100000.0
2019-04-05,100000.0
2019-04-08,100000.0
2019-04-09,99752.48
2019-04-10,99638.24
2019-04-11,99562.08
2019-04-12,99333.6
2019-04-15,99295.52
2019-04-16,99600.16
2019-04-17,99562.08
2019-04-18,100366.44
2019-04-22,100709.89
2019-04-23,101183.65
2019-04-24,101125.32
2019-04-25,100893.23
2019-04-26,102306.39
2019-04-29,102030.38
2019-04-30,103182.58
2019-05-01,102561.23
2019-05-02,102640.51
2019-05-03,103866.58
2019-05-06,104229.67
2019-05-07,102852.58
2019-05-08,102375.86
2019-05-09,101257.71
2019-05-10,101619.9
2019-05-13,97903.12
2019-05-14,99779.4
2019-05-15,101447.51
2019-05-16,101258.59
2019-05-17,100191.04
2019-05-20,97617.5
2019-05-21,98817.07
2019-05-22,98372.31
2019-05-23,97300.14
2019-05-24,96521.46
2019-05-28,95285.78
2019-05-29,95262.7
2019-05-30,95783.12
2019-05-31,94785.08
2019-06-03,95087.82
2019-06-04,97968.58
2019-06-05,98060.95
2019-06-06,98963.55
2019-06-07,99569.19
2019-06-10,100875.2
2019-06-11,101637.01
2019-06-12,100660.01
2019-06-13,100873.68
2019-06-14,100673.42
2019-06-17,100488.1
2019-06-18,101665.21
2019-06-19,101611.11
2019-06-20,102350.87
2019-06-21,102374.66
2019-06-24,102198.24
2019-06-25,99658.92
2019-06-26,100571.96
2019-06-27,100892.47
2019-06-28,100968.78
2019-07-01,101159.58
2019-07-02,101018.34
2019-07-03,101018.34
2019-07-05,101018.34
2019-07-08,101018.34
2019-07-09,101018.34
2019-07-10,101018.34
2019-07-11,101018.34
2019-07-12,101018.34
2019-07-15,101049.97
2019-07-16,101115.11
2019-07-17,100793.16
2019-07-18,101025.78
2019-07-19,100194.31
2019-07-22,100049.07
2019-07-23,100033.6
2019-07-24,101362.81
2019-07-25,101830.69
2019-07-26,102434.67
2019-07-29,102337.92
2019-07-30,101846.36
2019-07-31,101214.58
2019-08-01,101209.02
2019-08-02,101199.99
2019-08-05,97755.1
2019-08-06,99275.85
2019-08-07,98699.28
2019-08-08,101523.74
2019-08-09,100689.77
2019-08-12,98696.14
2019-08-13,100540.59
2019-08-14,96906.03
2019-08-15,95301.85
2019-08-16,96857.37
2019-08-19,98267.46
2019-08-20,97999.62
2019-08-21,98463.15
2019-08-22,98801.38
2019-08-23,96691.53
2019-08-26,97519.29
2019-08-27,97371.56
2019-08-28,97582.58
2019-08-29,98158.81
2019-08-30,98501.15
2019-09-03,98278.73
2019-09-04,98742.89
2019-09-05,98902.08
2019-09-06,98937.83
2019-09-09,98757.61
2019-09-10,98789.11
2019-09-11,99051.83
2019-09-12,99290.28
2019-09-13,99203.55
2019-09-16,99283.8
2019-09-17,99438.05
2019-09-18,99584.85
2019-09-19,99815.98
2019-09-20,100105.51
2019-09-23,99944.43
2019-09-24,99805.89
2019-09-25,99714.75
2019-09-26,99856.93
2019-09-27,99680.12
2019-09-30,99911.62
2019-10-01,99807.71
2019-10-02,99444.97
2019-10-03,99649.12
2019-10-04,100061.09
2019-10-07,99949.9
2019-10-08,99749.38
2019-10-09,99911.62
2019-10-10,99835.06
2019-10-11,99940.78
2019-10-14,100004.59
2019-10-15,100068.38
2019-10-16,99960.83
2019-10-17,99842.34
2019-10-18,100002.76
2019-10-21,99973.59
2019-10-22,99570.31
2019-10-23,99745.03
2019-10-24,100033.71
2019-10-25,99608.25
2019-10-28,99714.35
2019-10-29,99697.24
2019-10-30,100162.77
2019-10-31,99639.8
2019-11-01,99929.68
2019-11-04,100100.33
2019-11-05,100387.34
2019-11-06,100728.83
2019-11-07,100781.14
2019-11-08,100576.91
2019-11-11,101257.41
2019-11-12,101700.36
2019-11-13,102318.13
2019-11-14,102513.24
2019-11-15,102992.51
2019-11-18,103158.62
2019-11-19,102890.86
2019-11-20,102888.8
2019-11-21,102406.89
