symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
UNH,long,22,2019-04-18,2019-04-23,191.78,201.59,215.87,T1_HIT,5,5.12
UNH,long,22,2019-04-18,2019-04-29,191.78,209.67,393.65,T2_HIT,11,9.33
GE,long,99,2019-04-09,2019-05-01,45.07,48.93,381.77,T1_HIT,22,8.56
PFE,long,190,2019-04-22,2019-05-01,26.23,27.28,199.23,T1_HIT,9,4.0
GE,long,99,2019-04-09,2019-05-02,45.07,48.93,381.76,T2_HIT,23,8.56
UNH,long,46,2019-04-18,2019-05-08,191.78,210.2,847.47,T3_HIT,20,9.61
INTC,long,450,2019-04-29,2019-05-10,45.18,40.47,-2122.33,STOP_LOSS,11,-10.44
MU,long,494,2019-05-10,2019-05-20,38.04,33.89,-2052.12,STOP_LOSS,10,-10.92
AMAT,long,133,2019-05-10,2019-05-20,37.98,38.89,121.26,T1_HIT,10,2.4
PFE,long,190,2019-04-22,2019-05-23,26.23,28.37,406.25,T2_HIT,31,8.15
GOOGL,long,347,2019-05-01,2019-05-23,59.35,56.8,-884.47,TIME_STOP,22,-4.29
NKE,long,276,2019-05-07,2019-05-29,74.8,72.72,-574.45,TIME_STOP,22,-2.78
CAT,long,178,2019-05-10,2019-05-30,112.76,105.05,-1371.61,STOP_LOSS,20,-6.83
SBUX,long,74,2019-05-30,2019-06-05,64.85,67.54,199.18,T1_HIT,6,4.15
SBUX,long,74,2019-05-30,2019-06-07,64.85,69.95,377.44,T2_HIT,8,7.87
QCOM,long,55,2019-05-24,2019-06-11,58.28,61.08,153.66,T1_HIT,18,4.79
AMAT,long,133,2019-05-10,2019-06-12,37.98,39.87,252.18,T2_HIT,33,4.99
ABBV,long,85,2019-06-04,2019-06-12,56.3,57.86,132.63,T1_HIT,8,2.77
GS,long,119,2019-05-24,2019-06-17,162.96,162.96,-0.46,TIME_STOP,24,-0.0
SBUX,long,147,2019-05-30,2019-06-17,64.85,72.56,1134.11,T3_HIT,18,11.9
GE,long,197,2019-04-09,2019-06-21,45.07,51.43,1253.46,T3_HIT,73,14.12
