symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,return_pct,gross_pnl,hold_days
QCOM,short,284,2019-04-18,2019-04-24,66.56,73.59,-10.57,-1997.86,6
MU,long,518,2019-05-10,2019-05-20,38.04,33.89,-10.92,-2151.81,10
CAT,long,187,2019-05-10,2019-05-30,112.76,105.05,-6.83,-1440.96,20
ABBV,long,274,2019-06-04,2019-06-26,56.3,49.72,-11.69,-1803.3,22
MU,short,452,2019-07-11,2019-07-23,42.15,45.62,-8.24,-1569.11,12
AMZN,long,214,2019-07-30,2019-08-06,94.56,89.61,-5.23,-1058.12,7
NFLX,long,621,2019-07-19,2019-08-08,32.34,31.1,-3.82,-768.18,20
PFE,long,791,2019-08-02,2019-08-13,26.18,24.25,-7.37,-1526.75,11
CSCO,long,485,2019-08-08,2019-08-16,43.08,37.88,-12.07,-2521.09,8
MU,short,426,2019-09-05,2019-09-12,46.71,49.54,-6.05,-1204.68,7
AAPL,short,202,2019-08-01,2019-10-08,51.17,54.22,-5.97,-617.42,68
INTC,short,233,2019-07-22,2019-10-28,43.58,49.46,-13.5,-1370.6,98
BAC,short,811,2019-10-17,2019-11-06,25.73,27.82,-8.12,-1694.13,20
QCOM,short,277,2019-11-05,2019-11-08,73.27,77.39,-5.61,-1138.73,3
GOOGL,short,167,2019-07-29,2019-12-10,61.58,66.41,-7.84,-806.47,134
MU,short,413,2019-12-16,2019-12-23,51.45,53.86,-4.68,-994.75,7
MS,short,465,2020-01-15,2020-01-17,42.96,46.06,-7.2,-1439.01,2
MU,short,284,2019-12-23,2020-01-23,53.86,58.83,-9.23,-1412.39,31
XOM,long,392,2020-01-24,2020-02-04,49.69,45.89,-7.65,-1490.04,11
AMD,short,308,2020-01-10,2020-02-12,49.26,54.53,-10.7,-1623.16,33
AMZN,short,198,2020-02-03,2020-02-12,100.53,108.16,-7.59,-1510.74,9
META,long,73,2020-01-31,2020-02-28,206.62,181.11,-12.34,-1861.94,28
SBUX,long,203,2020-01-31,2020-02-28,74.19,66.18,-10.8,-1626.46,28
MRK,long,300,2020-02-06,2020-02-28,66.9,59.63,-10.86,-2179.09,22
AAPL,long,275,2020-02-25,2020-02-28,72.65,62.1,-14.52,-2900.4,3
PFE,long,787,2020-02-21,2020-03-02,24.96,23.67,-5.17,-1016.44,10
