symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,entry_ref,anchor_err_pct,gross_pnl,exit_reason,hold_days,return_pct
GS,short,28,2019-04-15,2019-04-17,172.44,170.62,175.59,-1.793,50.86,T1_HIT,2,1.05
UNH,long,22,2019-04-18,2019-04-23,191.78,201.59,191.51,0.139,215.87,T1_HIT,5,5.12
QCOM,short,284,2019-04-18,2019-04-24,66.56,73.59,66.86,-0.449,-1997.87,STOP_LOSS,6,-10.57
INTC,short,101,2019-04-17,2019-04-29,50.61,45.18,49.12,3.041,548.46,T1_HIT,12,10.73
UNH,long,22,2019-04-18,2019-04-29,191.78,209.67,191.51,0.139,393.65,T2_HIT,11,9.33
INTC,short,101,2019-04-17,2019-04-30,50.61,44.17,49.12,3.041,650.8,T2_HIT,13,12.73
GE,long,99,2019-04-09,2019-05-01,45.07,48.93,45.74,-1.466,381.76,T1_HIT,22,8.56
PFE,long,191,2019-04-22,2019-05-01,25.78,26.81,26.01,-0.873,196.83,T1_HIT,9,4.0
GE,long,99,2019-04-09,2019-05-02,45.07,48.93,45.74,-1.466,381.77,T2_HIT,23,8.56
C,short,379,2019-04-15,2019-05-07,52.27,54.13,52.29,-0.045,-707.35,TIME_STOP,22,-3.57
AMAT,short,120,2019-04-25,2019-05-07,41.97,39.27,41.32,1.569,323.41,T1_HIT,12,6.42
UNH,long,45,2019-04-18,2019-05-08,191.78,210.2,191.51,0.139,829.05,T3_HIT,20,9.61
INTC,short,202,2019-04-17,2019-05-09,50.61,41.74,49.12,3.041,1792.62,T3_HIT,22,17.53
QCOM,short,65,2019-04-25,2019-05-10,72.86,70.5,73.42,-0.764,153.34,T1_HIT,15,3.24
AMAT,short,120,2019-04-25,2019-05-10,41.97,37.94,41.32,1.569,483.99,T2_HIT,15,9.61
AMAT,short,238,2019-04-25,2019-05-14,41.97,36.74,41.32,1.569,1245.24,T3_HIT,19,12.47
GS,short,85,2019-04-15,2019-05-17,172.44,165.84,175.59,-1.793,560.85,POST_T1_STOP,32,3.83
MU,long,518,2019-05-10,2019-05-20,38.04,33.89,38.29,-0.653,-2151.81,STOP_LOSS,10,-10.92
QCOM,short,65,2019-04-25,2019-05-21,72.86,66.72,73.42,-0.764,399.0,T2_HIT,26,8.43
PFE,long,191,2019-04-22,2019-05-23,25.78,27.88,26.01,-0.873,401.37,T2_HIT,31,8.15
QCOM,short,131,2019-04-25,2019-05-23,72.86,56.67,73.42,-0.764,2121.12,T3_HIT,28,22.22
GOOGL,long,348,2019-05-01,2019-05-23,59.35,56.8,59.42,-0.12,-887.02,TIME_STOP,22,-4.29
NKE,long,276,2019-05-07,2019-05-29,74.8,72.72,75.3,-0.66,-574.45,TIME_STOP,22,-2.78
CAT,long,187,2019-05-10,2019-05-30,112.76,105.05,113.34,-0.512,-1440.96,STOP_LOSS,20,-6.83
INTC,long,527,2019-05-13,2019-06-04,39.5,38.48,40.26,-1.889,-537.29,TIME_STOP,22,-2.58
SBUX,long,80,2019-05-30,2019-06-05,64.48,67.15,64.16,0.497,214.11,T1_HIT,6,4.15
SBUX,long,80,2019-05-30,2019-06-07,64.48,69.55,64.16,0.497,405.71,T2_HIT,8,7.87
QCOM,long,59,2019-05-24,2019-06-11,58.28,61.08,57.72,0.974,164.84,T1_HIT,18,4.79
ABBV,long,91,2019-06-04,2019-06-12,56.3,57.86,55.98,0.579,141.99,T1_HIT,8,2.77
GS,long,129,2019-05-24,2019-06-17,162.96,162.96,162.18,0.482,-0.5,TIME_STOP,24,-0.0
SBUX,long,159,2019-05-30,2019-06-17,64.48,72.15,64.16,0.497,1219.68,T3_HIT,18,11.9
GE,long,197,2019-04-09,2019-06-21,45.07,51.43,45.74,-1.466,1253.46,T3_HIT,73,14.12
PFE,long,381,2019-04-22,2019-06-21,25.78,29.02,26.01,-0.873,1234.83,T3_HIT,60,12.57
